"","raw_batch1_07262021_MT___MT_20210726_001","raw_batch1_07262021_MT___MT_20210726_003","raw_batch1_07262021_MT___MT_20210726_005","raw_batch1_07262021_MT___MT_20210726_007","raw_batch1_07262021_MT___MT_20210726_009","raw_batch1_07262021_MT___MT_20210726_095","raw_batch1_07262021_MT___MT_20210726_097","raw_batch1_07262021_MT___MT_20210726_193","raw_batch1_07262021_MT___Blank_20210726_003"
"F407",0,0,0,0,0,0,0,0,0
"F408",0,0,0,0,0,0,0,0,0
"F409",0,0,0,0,0,0,0,0,0
"F410",0,0,0,0,0,0,0,0,0
"F411",0,0,0,0,0,0,0,0,0
"F413",0,0,0,0,0,0,0,0,0
"F414",537091,0,0,0,0,0,0,0,0
"F415",0,0,0,0,0,0,0,0,0
"F416",0,0,0,0,0,0,0,0,0
"F417",0,0,0,0,0,0,0,0,0
"F421",0,0,0,0,0,0,0,0,0
"F424",0,0,0,0,0,0,0,0,0
"F428",0,0,0,0,0,0,0,0,0
"F429",0,0,0,0,0,0,0,0,0
"F430",0,0,0,0,0,0,0,0,0
"F431",0,0,0,0,0,0,0,0,0
"F432",27244,84532,171526,191344,224558,187800,216309,155016,0
"F433",27818,53677,78665,101810,108082,62574,88129,73369,0
"F434",14454,18112,24414,39729,23356,42778,45546,21799,0
"F435",0,0,0,0,0,0,0,0,0
"F436",0,0,0,0,0,0,0,0,0
"F437",0,0,0,0,0,0,0,0,0
"F438",0,0,0,0,20212,0,0,0,0
"F439",0,0,0,0,0,0,0,0,0
"F440",0,0,0,0,0,6095,0,5675,0
"F441",0,0,0,0,0,0,0,0,0
"F442",0,0,0,0,0,0,0,0,0
"F443",0,0,0,0,0,0,0,0,0
"F445",0,0,0,0,0,0,0,0,0
"F446",0,0,0,0,0,0,0,0,0
"F449",20464404,16454064,13235013,12279446,12618888,10663422,9937622,8379082,0
"F451",24086739,21697168,18878509,18297475,18357489,14754206,15460519,15220048,0
"F452",1033173,769545,620866,0,575804,0,0,0,0
"F453",1905835,1215079,1031013,921683,935876,892946,730923,714335,0
"F454",0,0,0,0,0,0,0,0,0
"F456",0,0,0,0,0,0,0,0,0
"F457",231581,241711,344320,289854,240325,247465,217481,387035,343497
"F459",0,0,0,0,0,0,0,0,0
"F460",1914612,1417709,1292311,1219620,1409520,916600,990712,713705,0
"F464",0,0,0,0,0,0,0,0,0
"F465",0,0,0,0,0,0,0,0,0
"F466",0,0,0,0,0,0,0,0,0
"F467",0,0,0,0,0,0,0,0,0
"F468",14546357,12879931,11259144,10426609,10455917,8197187,8331360,8496693,591614
"F471",0,0,0,0,0,0,0,0,0
"F473",138880,0,0,0,0,0,0,0,0
"F475",0,0,0,0,0,1838425,0,0,0
"F477",0,0,0,0,0,245665,0,0,0
"F478",0,0,0,0,0,117204,0,0,0
"F479",0,0,0,0,0,164265,0,0,0
"F480",2100632,1764463,1611979,1479273,1403579,927307,832618,740639,0
"F481",9633469,6587185,5350436,4913389,4968153,5098778,4537745,4004836,0
"F482",0,0,0,0,0,0,0,0,0
